,slice,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,method
92,28,0.0,0.0,0.16666667,1.0,0.0,1.0,0.2857143,0.5833333,0.13000822,0.008007812,Majority Voting
93,29,0.0,0.0,0.13915858,1.0,0.0,1.0,0.24431819,0.5695793,0.13000822,0.010390625,Majority Voting
94,30,0.0,0.0,0.23732719,0.99996024,3.973615e-05,0.99038464,0.38289964,0.6186437,0.13000822,0.01296875,Majority Voting
95,31,0.0,0.0,0.33274648,0.9999201,7.9897734e-05,0.9895288,0.49802372,0.6663333,0.13000822,0.014882812,Majority Voting
96,32,0.0,0.0,0.5180897,0.9995183,0.00048175358,0.96756756,0.6748351,0.75880396,0.13000822,0.013476563,Majority Voting
97,33,0.0,0.0,0.48907766,1.0,0.0,1.0,0.6568867,0.74453884,0.13000822,0.016445313,Majority Voting
98,34,0.0,0.0,0.5404564,0.9998782,0.00012177302,0.9942748,0.7002688,0.77016735,0.13000822,0.017421875,Majority Voting
99,35,0.0,0.0,0.4830097,0.99967164,0.00032835332,0.9867769,0.6485606,0.7413407,0.13000822,0.025273437,Majority Voting
100,36,0.0,0.0,0.6,0.9923699,0.0076301056,0.8288372,0.69609374,0.79618496,0.13000822,0.030390626,Majority Voting
101,37,0.0,0.0,0.77412397,0.9931354,0.006864603,0.8980613,0.8314997,0.8836297,0.13000822,0.022734376,Majority Voting
102,38,0.0,0.0,0.8184092,0.9908902,0.009109784,0.8838466,0.84987015,0.90464973,0.13000822,0.022578126,Majority Voting
103,39,0.0,0.0,0.8503717,0.9942852,0.005714773,0.9317719,0.88921285,0.9223285,0.13000822,0.0178125,Majority Voting
104,40,0.0,0.0,0.90570176,0.9951544,0.004845626,0.94811755,0.9264244,0.95042807,0.13000822,0.0128125,Majority Voting
105,41,0.0,0.0,0.89916664,0.9953448,0.0046551726,0.95233893,0.9249893,0.94725573,0.13000822,0.013671875,Majority Voting
106,42,0.0,0.0,0.89315724,0.9968833,0.0031167483,0.96875,0.9294191,0.94502026,0.13000822,0.013242188,Majority Voting
107,43,0.0,0.0,0.90694934,0.9951416,0.00485837,0.9537572,0.92976457,0.9510455,0.13000822,0.013632813,Majority Voting
108,44,0.0,0.0,0.9217767,0.9925833,0.0074167247,0.93203497,0.9268775,0.95718,0.13000822,0.014453125,Majority Voting
109,45,0.0,0.0,0.9251051,0.9927338,0.00726624,0.9354714,0.93025935,0.9589194,0.13000822,0.014179688,Majority Voting
110,46,0.0,0.0,0.9378811,0.991774,0.008225975,0.9286792,0.93325746,0.96482754,0.13000822,0.01375,Majority Voting
